423245641	414691355	80.0
423245641	410802620	100.0
423245641	419549837	60.0
423245641	419485281	45.0
423245641	412016420	65.0
423245641	421160284	85.0
423245641	420513422	30.0
423245641	420500507	80.0
423245641	421203274	55.0
423245641	416933311	25.0
423245641	33340138	25.0
423245641	421423368	100.0
423245641	30870137	50.0
423245641	407838716	25.0
423245641	417908273	65.0
423245641	418316404	100.0
423245641	414670117	65.0
423245641	418602540	85.0
423245641	420500511	80.0
423245641	412268350	65.0
423245641	34899626	100.0
423245641	416531764	85.0
423245641	29483200	95.0
423245641	419238656	40.0
423245641	37240741	100.0
423245641	38846209	90.0
423245641	36921820	45.0
423245641	418654949	25.0
423245641	421203736	45.0
423245641	418603101	85.0
